item_id,order_id,product_id,quantity,unit_price,return_flag
ITEM-00000001,ORD-0000001,PROD-00002,1,30.06,False
ITEM-00000002,ORD-0000001,PROD-00166,3,44.21,False
ITEM-00000003,ORD-0000001,PROD-00114,1,185.73,False
ITEM-00000004,ORD-0000002,PROD-00050,1,9.64,False
ITEM-00000005,ORD-0000003,PROD-00034,2,15.79,False
ITEM-00000006,ORD-0000003,PROD-00005,3,28.11,False
ITEM-00000007,ORD-0000003,PROD-00123,1,88.41,False
ITEM-00000008,ORD-0000003,PROD-00091,2,35.44,False
ITEM-00000009,ORD-0000004,PROD-00176,2,59.09,True
ITEM-00000010,ORD-0000004,PROD-00097,1,40.74,False
ITEM-00000011,ORD-0000004,PROD-00003,1,52.11,True
ITEM-00000012,ORD-0000004,PROD-00024,5,12.22,False
ITEM-00000013,ORD-0000005,PROD-00088,2,41.68,False
ITEM-00000014,ORD-0000005,PROD-00117,1,32.32,False
ITEM-00000015,ORD-0000005,PROD-00097,3,40.74,False
ITEM-00000016,ORD-0000006,PROD-00191,2,24.23,False
ITEM-00000017,ORD-0000006,PROD-00118,1,14.61,False
ITEM-00000018,ORD-0000006,PROD-00050,1,9.64,True
ITEM-00000019,ORD-0000007,PROD-00111,2,8.64,False
ITEM-00000020,ORD-0000008,PROD-00062,1,29.08,False
ITEM-00000021,ORD-0000008,PROD-00063,3,15.27,False
ITEM-00000022,ORD-0000009,PROD-00031,2,21.73,False
ITEM-00000023,ORD-0000009,PROD-00080,2,8.24,False
ITEM-00000024,ORD-0000010,PROD-00026,3,35.79,False
ITEM-00000025,ORD-0000010,PROD-00097,1,40.74,False
ITEM-00000026,ORD-0000010,PROD-00086,1,23.31,False
ITEM-00000027,ORD-0000010,PROD-00057,3,18.4,False
ITEM-00000028,ORD-0000011,PROD-00153,1,20.57,False
ITEM-00000029,ORD-0000011,PROD-00001,1,46.89,False
ITEM-00000030,ORD-0000011,PROD-00126,1,153.44,False
ITEM-00000031,ORD-0000011,PROD-00182,2,18.17,True
ITEM-00000032,ORD-0000011,PROD-00136,3,98.0,False
ITEM-00000033,ORD-0000012,PROD-00111,1,8.64,False
ITEM-00000034,ORD-0000013,PROD-00057,1,18.4,False
ITEM-00000035,ORD-0000014,PROD-00085,2,18.8,False
ITEM-00000036,ORD-0000015,PROD-00118,2,14.61,False
ITEM-00000037,ORD-0000016,PROD-00114,1,185.73,False
ITEM-00000038,ORD-0000016,PROD-00156,2,20.08,False
ITEM-00000039,ORD-0000016,PROD-00111,5,8.64,False
ITEM-00000040,ORD-0000016,PROD-00173,1,31.38,False
ITEM-00000041,ORD-0000017,PROD-00146,4,57.24,False
ITEM-00000042,ORD-0000018,PROD-00141,1,38.83,False
ITEM-00000043,ORD-0000019,PROD-00108,1,37.42,False
ITEM-00000044,ORD-0000019,PROD-00018,2,41.26,False
ITEM-00000045,ORD-0000019,PROD-00039,3,13.07,False
ITEM-00000046,ORD-0000019,PROD-00155,2,40.66,False
ITEM-00000047,ORD-0000019,PROD-00131,1,11.18,False
ITEM-00000048,ORD-0000020,PROD-00116,4,40.9,False
ITEM-00000049,ORD-0000020,PROD-00145,3,39.72,False
ITEM-00000050,ORD-0000020,PROD-00139,2,58.53,False
ITEM-00000051,ORD-0000020,PROD-00131,2,11.18,False
ITEM-00000052,ORD-0000021,PROD-00046,1,20.01,False
ITEM-00000053,ORD-0000021,PROD-00115,1,28.94,False
ITEM-00000054,ORD-0000021,PROD-00065,1,58.48,False
ITEM-00000055,ORD-0000021,PROD-00129,1,35.51,False
ITEM-00000056,ORD-0000022,PROD-00086,1,23.31,False
ITEM-00000057,ORD-0000022,PROD-00152,3,42.2,False
ITEM-00000058,ORD-0000022,PROD-00091,1,35.44,False
ITEM-00000059,ORD-0000022,PROD-00005,1,28.11,False
ITEM-00000060,ORD-0000023,PROD-00084,1,23.04,False
ITEM-00000061,ORD-0000024,PROD-00017,4,16.3,False
ITEM-00000062,ORD-0000024,PROD-00071,1,42.65,False
ITEM-00000063,ORD-0000024,PROD-00005,1,28.11,False
ITEM-00000064,ORD-0000024,PROD-00138,3,26.43,False
ITEM-00000065,ORD-0000024,PROD-00041,3,55.53,False
ITEM-00000066,ORD-0000025,PROD-00021,2,92.38,False
